,date,no1,no2,no3,no4,no5,no6,no7,singular,plural,l10,l20,l30,l40,l50
85,2021-10-21,6,9,11,13,15,47,38,5,1,2,3,0,0,1
86,2021-10-19,7,13,15,19,24,37,2,5,1,1,3,1,1,0
87,2021-10-16,3,14,16,23,38,46,2,2,4,1,2,1,1,1
88,2021-10-14,2,6,9,27,43,45,35,4,2,3,0,1,0,2
89,2021-10-07,8,11,19,21,24,47,23,4,2,1,2,2,0,1
90,2021-10-05,19,20,26,29,32,48,38,2,4,0,2,2,1,1
91,2021-10-02,6,12,19,31,47,48,41,3,3,1,2,0,1,2
92,2021-09-30,2,3,11,20,24,47,48,3,3,2,2,1,0,1
93,2021-09-28,2,23,31,38,43,45,40,4,2,1,0,1,2,2
94,2021-09-25,15,18,32,43,45,47,12,4,2,0,2,0,1,3
95,2021-09-23,2,4,10,17,38,41,47,2,4,3,1,0,1,1
96,2021-09-21,14,15,25,26,32,45,2,3,3,0,2,2,1,1
97,2021-09-16,1,6,11,20,32,35,22,3,3,2,2,0,2,0
98,2021-09-14,7,8,32,33,39,49,23,4,2,2,0,0,3,1
99,2021-09-11,12,26,31,37,38,44,16,2,4,0,1,1,3,1
100,2021-09-09,7,22,24,31,33,37,39,4,2,1,0,2,3,0
101,2021-09-07,2,7,21,23,27,36,40,4,2,2,0,3,1,0
102,2021-09-04,5,8,29,31,32,36,12,3,3,2,0,1,3,0
103,2021-09-02,10,28,39,45,48,49,15,3,3,1,0,1,1,3
104,2021-08-31,1,12,23,29,45,46,48,4,2,1,1,2,0,2
105,2021-08-28,2,14,15,16,33,45,19,3,3,1,3,0,1,1
106,2021-08-26,5,10,17,30,43,44,40,3,3,2,1,1,0,2
107,2021-08-21,2,5,18,21,42,48,46,2,4,2,1,1,0,2
108,2021-08-19,4,26,28,31,32,33,8,2,4,1,0,2,3,0
109,2021-08-14,11,12,19,38,39,41,6,4,2,0,3,0,2,1
110,2021-08-12,20,21,30,34,36,37,29,2,4,0,1,2,3,0
111,2021-08-10,4,12,14,17,22,32,41,1,5,1,3,1,1,0
112,2021-08-07,13,14,26,34,35,44,12,2,4,0,2,1,2,1
113,2021-08-05,10,17,19,25,36,39,31,4,2,1,2,1,2,0
114,2021-08-03,10,13,15,29,31,39,47,5,1,1,2,1,2,0
115,2021-08-01,1,4,9,21,36,42,3,3,3,3,0,1,1,1
116,2021-07-27,8,11,19,22,29,44,14,3,3,1,2,2,0,1
117,2021-07-24,11,12,25,27,28,34,46,3,3,0,2,3,1,0
118,2021-07-22,2,3,4,5,8,23,27,3,3,5,0,1,0,0
119,2021-07-20,2,7,15,19,31,49,46,5,1,2,2,0,1,1
120,2021-07-17,1,6,16,30,32,47,12,2,4,2,1,1,1,1
121,2021-07-15,6,19,22,23,28,49,20,3,3,1,1,3,0,1
122,2021-07-13,9,13,21,35,38,48,20,4,2,1,1,1,2,1
123,2021-07-10,25,28,34,37,40,49,33,3,3,0,0,2,3,1
124,2021-07-08,7,9,13,27,39,43,42,6,0,2,1,1,1,1
125,2021-07-06,2,6,15,16,26,34,14,1,5,2,2,1,1,0
126,2021-07-03,7,9,24,29,37,48,17,4,2,2,0,2,1,1
127,2021-06-29,10,16,24,39,44,47,28,2,4,1,1,1,1,2
128,2021-06-27,2,7,11,27,37,42,28,4,2,2,1,1,1,1
129,2021-06-24,4,11,14,21,38,48,31,2,4,1,2,1,1,1
130,2021-06-22,1,5,7,24,26,30,8,3,3,3,0,3,0,0
131,2021-06-19,4,15,17,32,38,43,30,3,3,1,2,0,2,1
132,2021-06-17,1,25,31,34,42,48,20,3,3,1,0,1,2,2
133,2021-06-15,3,11,13,22,44,45,4,4,2,1,2,1,0,2
134,2021-06-11,2,3,15,29,41,43,7,5,1,2,1,1,0,2
135,2021-06-08,7,13,21,24,28,30,10,3,3,1,1,4,0,0
136,2021-06-04,2,6,16,22,34,49,45,1,5,2,1,1,1,1
137,2021-06-01,1,6,16,28,33,36,8,2,4,2,1,1,2,0
138,2021-05-28,5,12,30,43,44,45,21,3,3,1,1,1,0,3
139,2021-05-25,1,7,19,22,27,49,20,5,1,2,1,2,0,1
140,2021-05-21,8,14,31,37,44,47,38,3,3,1,1,0,2,2
141,2021-05-18,2,9,26,34,35,36,4,2,4,2,0,1,3,0
142,2021-05-14,5,14,28,29,31,37,11,4,2,1,1,2,2,0
143,2021-05-11,15,22,30,31,35,45,6,4,2,0,1,2,2,1
144,2021-05-07,5,8,22,26,40,41,46,2,4,2,0,2,1,1
145,2021-05-04,8,9,10,19,38,45,6,3,3,3,1,0,1,1
146,2021-04-30,7,9,29,33,36,49,41,5,1,2,0,1,2,1
147,2021-04-27,2,13,15,19,38,41,30,4,2,1,3,0,1,1
148,2021-04-23,15,18,20,23,31,47,12,4,2,0,3,1,1,1
149,2021-04-20,12,32,40,42,48,49,27,1,5,0,1,0,2,3
150,2021-04-16,5,6,17,23,29,38,24,4,2,2,1,2,1,0
151,2021-04-13,7,10,13,14,20,35,49,3,3,2,3,0,1,0
152,2021-04-09,7,9,12,13,14,16,23,3,3,2,4,0,0,0
153,2021-04-06,4,7,8,20,22,41,21,2,4,3,1,1,0,1
154,2021-04-02,1,2,33,34,42,49,39,3,3,2,0,0,2,2
155,2021-03-30,24,26,36,37,41,43,31,3,3,0,0,2,2,2
156,2021-03-26,6,12,24,26,30,43,20,1,5,1,1,3,0,1
157,2021-03-23,11,14,16,19,38,41,6,3,3,0,4,0,1,1
158,2021-03-19,3,8,9,14,23,25,35,4,2,3,1,2,0,0
159,2021-03-12,16,17,21,24,43,47,30,4,2,0,2,2,0,2
160,2021-03-05,1,23,32,38,43,46,5,3,3,1,0,1,2,2
161,2021-03-02,6,15,16,21,27,28,43,3,3,1,2,3,0,0
162,2021-02-26,14,17,35,37,39,46,2,4,2,0,2,0,3,1
163,2021-02-23,2,14,18,28,34,44,21,0,6,1,2,1,1,1
164,2021-02-19,4,5,13,14,25,44,16,3,3,2,2,1,0,1
165,2021-02-16,3,13,28,30,31,45,22,4,2,1,1,2,1,1
166,2021-02-12,6,25,31,36,41,47,10,4,2,1,0,1,2,2
167,2021-02-09,1,2,16,20,31,38,7,2,4,2,2,0,2,0
168,2021-02-05,10,16,22,40,44,45,49,1,5,1,1,1,1,2
169,2021-02-02,18,21,24,26,30,35,48,2,4,0,1,4,1,0
170,2021-01-29,2,10,30,31,35,46,3,2,4,2,0,1,2,1
171,2021-01-26,5,9,16,21,44,49,15,4,2,2,1,1,0,2
172,2021-01-22,15,16,18,21,24,31,22,3,3,0,3,2,1,0
173,2021-01-19,14,21,22,38,40,45,17,2,4,0,1,2,2,1
174,2021-01-15,4,24,39,41,42,45,6,3,3,1,0,1,1,3
175,2021-01-12,5,19,22,26,35,40,2,3,3,1,1,2,2,0
176,2021-01-08,5,19,29,32,33,34,43,4,2,1,1,1,3,0
177,2021-01-05,22,24,30,36,38,46,33,0,6,0,0,3,2,1
178,2021-01-02,3,9,14,21,45,46,34,4,2,2,1,1,0,2
179,2020-12-29,10,11,24,39,41,42,22,3,3,1,1,1,1,2
180,2020-12-25,14,18,24,27,28,41,45,2,4,0,2,3,0,1
181,2020-12-22,11,20,36,37,39,48,21,3,3,0,2,0,3,1
182,2020-12-18,8,11,12,23,34,49,28,3,3,1,2,1,1,1
183,2020-12-15,2,11,13,20,21,33,14,4,2,1,3,1,1,0
184,2020-12-11,1,11,23,29,41,46,44,5,1,1,1,2,0,2
185,2020-12-08,7,32,34,35,48,49,23,3,3,1,0,0,3,2
186,2020-12-04,11,13,19,38,39,41,47,5,1,0,3,0,2,1
187,2020-12-01,24,27,29,31,42,47,22,4,2,0,0,3,1,2
188,2020-11-27,5,12,13,23,27,38,39,4,2,1,2,2,1,0
189,2020-11-24,7,12,16,22,45,47,25,3,3,1,2,1,0,2
190,2020-11-20,22,25,30,33,34,43,24,3,3,0,0,3,2,1
191,2020-11-17,13,19,20,21,33,49,45,5,1,0,3,1,1,1
192,2020-11-13,6,15,17,18,28,47,32,3,3,1,3,1,0,1
193,2020-11-10,13,15,25,28,45,49,24,5,1,0,2,2,0,2
194,2020-11-06,11,17,35,36,38,40,6,3,3,0,2,0,4,0
195,2020-10-29,6,11,33,38,40,43,2,3,3,1,1,0,3,1
196,2020-10-22,1,13,19,24,29,45,26,5,1,1,2,2,0,1
197,2020-10-15,9,26,28,33,38,46,44,2,4,1,0,2,2,1
198,2020-10-08,21,28,33,34,40,47,49,3,3,0,0,2,3,1
199,2020-09-29,9,21,26,27,28,48,45,3,3,1,0,4,0,1
200,2020-09-24,11,24,26,35,42,44,20,2,4,0,1,2,1,2
201,2020-02-01,3,5,30,31,43,48,13,4,2,2,0,1,1,2
202,2020-01-23,2,11,13,45,46,49,42,4,2,1,2,0,0,3
203,2020-01-21,11,14,21,28,37,44,36,3,3,0,2,2,1,1
204,2020-01-18,18,29,32,33,36,40,38,2,4,0,1,1,4,0
205,2020-01-16,2,20,24,30,32,46,1,0,6,1,1,2,1,1
206,2020-01-12,5,17,35,37,42,49,39,5,1,1,1,0,2,2
